"","GK1","GK2","DEF1","DEF2","DEF3","DEF4","DEF5","MID1","MID2","MID3","MID4","MID5","FWD1","FWD2","FWD3","Points","Cost","OK"
"Player602","Ryan","Henderson","Pereira","Jonny","Chilwell","Söyüncü","Basham","Mahrez","Lundstram","Salah","Lucas Moura","Ward-Prowse","Martial","Wood","Abraham",2156,99.5,TRUE
"Player329","McCarthy","de Gea","Mee","Taylor","Pereira","van Dijk","Doherty","Lundstram","De Bruyne","Grealish","Mount","Højbjerg","Richarlison","Calvert-Lewin","Martial",2156,98,TRUE
"Player308","Pope","Ederson","Wan-Bissaka","Keane","Alexander-Arnold","Baldock","Azpilicueta","Tielemans","Grealish","Noble","Aubameyang","El Ghazi","Ayew","Martial","Abraham",2156,100,TRUE
"Player197","Ryan","Dubravka","Baldock","Dunk","Gomez","Tarkowski","Evans","Mané","Grealish","Rice","Moutinho","Pulisic","Ings","Martial","Maupay",2156,98.5,TRUE
"Player269","Ryan","Pope","Tarkowski","Söyüncü","van Dijk","Alexander-Arnold","Boly","De Bruyne","Lundstram","Hourihane","Traoré","Shelvey","Ayew","Kane","Rodriguez",2156,98,TRUE
"Player363","Ederson","de Gea","Stephens","Doherty","Dunk","Baldock","Diop","Mahrez","Salah","Ndidi","McNeil","Hayden","Martial","Ings","Jiménez",2155,100,TRUE
"Player418","Pope","Guaita","Dunk","Mings","Basham","Stephens","Söyüncü","Westwood","Rodrigo","Henderson","De Bruyne","Salah","Rodriguez","Jiménez","Ings",2155,99,TRUE
"Player452","Pope","Pickford","Alexander-Arnold","Jonny","Baldock","Stevens","van Aanholt","James","McGinn","Shelvey","Zaha","De Bruyne","Ings","Wood","Abraham",2155,98.5,TRUE
"Player626","Guaita","Schmeichel","Tarkowski","Taylor","Wan-Bissaka","Dunk","Egan","Westwood","Armstrong","Lundstram","Fernandes","De Bruyne","Antonio","Vardy","Ings",2155,99.5,TRUE
"Player147","Dubravka","de Gea","Tarkowski","Fernández","Dunk","Doherty","Alexander-Arnold","Almirón","Douglas Luiz","James","Norwood","Rashford","Jiménez","Jesus","Vardy",2155,99.5,TRUE
"Player317","Ryan","Guaita","Lindelöf","Stevens","Otamendi","Wan-Bissaka","Azpilicueta","De Bruyne","Armstrong","Traoré","Saint-Maximin","Salah","Maupay","Ings","Abraham",2155,100,TRUE
"Player539","McCarthy","Leno","Evans","Basham","Doherty","Stevens","Robertson","De Bruyne","Lucas Moura","Trézéguet","Chamberlain","Mount","Wood","Martial","Ings",2155,100,TRUE
"Player7","Patrício","Guaita","van Dijk","Doherty","Stevens","van Aanholt","Jonny","Chamberlain","Ndidi","Son","Grealish","Sterling","Ayew","Martial","Maupay",2155,100,TRUE
"Player522","Guaita","Schmeichel","Stevens","Lascelles","Burn","van Dijk","Digne","Traoré","De Bruyne","Armstrong","Westwood","Aubameyang","Maupay","Ings","Ayew",2155,99.5,TRUE
"Player489","Ryan","Schmeichel","Coady","Robertson","Tarkowski","Söyüncü","Alexander-Arnold","Almirón","Pulisic","McArthur","Greenwood","De Bruyne","Jiménez","Ayew","Mousset",2155,100,TRUE
"Player749","Arrizabalaga","Schmeichel","Wan-Bissaka","Maguire","Doherty","Azpilicueta","Alexander-Arnold","Sigurdsson","Henderson","Douglas Luiz","Mahrez","Ritchie","Vardy","Ings","Jiménez",2155,99,TRUE
"Player694","de Gea","Dubravka","Wan-Bissaka","Pieters","Mee","Robertson","Lindelöf","Salah","Shelvey","Zaha","Jorginho","De Bruyne","Maupay","Jiménez","Ayew",2155,99.5,TRUE
"Player307","Dubravka","Ryan","Mee","Gomez","Egan","Digne","Basham","Mahrez","Barnes","Salah","Norwood","Traoré","Ings","Martial","Maupay",2155,99,TRUE
"Player491","Henderson","Pope","Dunk","Alexander-Arnold","Robertson","van Dijk","van Aanholt","McNeil","Son","Moutinho","Greenwood","Grealish","Martial","Joelinton","Mousset",2155,98.5,TRUE
"Player469","Ryan","McCarthy","Evans","Doherty","Coady","David Luiz","Maguire","Alli","Rashford","Lundstram","Grealish","Salah","Ayew","Wood","Ings",2155,99.5,TRUE
"Player140","Pope","Dubravka","Azpilicueta","Doherty","van Dijk","Chilwell","Egan","Mahrez","Lundstram","Rashford","Jota","Wijnaldum","Haller","Rodriguez","Vardy",2155,97.5,TRUE
"Player954","de Gea","Schmeichel","Ward","Lindelöf","Tarkowski","Robertson","Mee","De Bruyne","Noble","Sterling","Kouyaté","Jota","Jiménez","Abraham","Maupay",2154,100,TRUE
"Player558","Pope","Patrício","Basham","Fernández","Jonny","Doherty","Alexander-Arnold","Ritchie","Norwood","Sterling","Aubameyang","Noble","Martial","Wood","Mousset",2154,100,TRUE
"Player961","Alisson","Pope","Webster","O'Connell","Söyüncü","Taylor","Stevens","Mané","De Bruyne","Lundstram","Mount","Moutinho","Maupay","Jiménez","Calvert-Lewin",2154,100,TRUE
"Player87","McCarthy","Pope","Doherty","Dunk","Taylor","Wan-Bissaka","Alexander-Arnold","De Bruyne","Lundstram","Chamberlain","Maddison","Henderson","Maupay","Vardy","Antonio",2154,97.5,TRUE
"Player952","Dubravka","Patrício","Alexander-Arnold","Chilwell","Lindelöf","van Dijk","O'Connell","De Bruyne","Fabinho","Norwood","McNeil","Rashford","Lacazette","Ayew","Abraham",2154,99.5,TRUE
"Player44","Guaita","Patrício","Tarkowski","Evans","Robertson","Walker","Doherty","Grealish","Sterling","Xhaka","Dendoncker","Pérez","Ings","Joelinton","Martial",2154,99.5,TRUE
"Player110","Henderson","Pope","Egan","Wan-Bissaka","van Dijk","O'Connell","Mina","Pérez","Rice","Wijnaldum","De Bruyne","Grealish","Ings","Calvert-Lewin","Ayew",2154,95.5,TRUE
"Player604","Pickford","Schmeichel","Coady","Tarkowski","Alexander-Arnold","Egan","Söyüncü","Zaha","Rashford","Barnes","Lundstram","El Ghazi","Ayew","Martial","Kane",2154,99.5,TRUE
"Player233","Henderson","Patrício","Baldock","Taylor","Aurier","van Dijk","Chilwell","Wijnaldum","Moutinho","Sterling","Salah","Grealish","Wood","Maupay","Calvert-Lewin",2154,100,TRUE
"Player732","Henderson","Pope","van Aanholt","van Dijk","Dunk","Otamendi","Chilwell","De Bruyne","Xhaka","Rashford","Trézéguet","Armstrong","Abraham","Ings","Richarlison",2154,100,TRUE
"Player742","Alisson","Pope","van Dijk","O'Connell","Alexander-Arnold","Tarkowski","Söyüncü","Maddison","Fleck","De Bruyne","Zaha","Trossard","Richarlison","Haller","Maupay",2153,100,TRUE
"Player241","Schmeichel","Pope","Coady","Alderweireld","Tarkowski","Dunk","Aurier","De Bruyne","Moutinho","Harry Wilson","Noble","Fleck","Jesus","Vardy","Martial",2153,99.5,TRUE
"Player503","Schmeichel","Pickford","Mee","Alexander-Arnold","Egan","Pieters","Azpilicueta","Henderson","McArthur","Traoré","Grealish","Pérez","Martial","Vardy","Jiménez",2153,97,TRUE
"Player816","Patrício","Henderson","Doherty","Lindelöf","Basham","Wan-Bissaka","Dunk","Kouyaté","Wijnaldum","De Bruyne","Salah","Hayden","Rodriguez","Jiménez","Wood",2153,97.5,TRUE
"Player217","Pickford","Schmeichel","Baldock","Mee","Evans","Robertson","Doherty","Milivojevic","McNeil","Westwood","Salah","Hayden","Ayew","Jiménez","Ings",2153,97,TRUE
"Player282","Dubravka","Ryan","Taylor","Mings","Alexander-Arnold","Tarkowski","Aurier","Lundstram","Neves","De Bruyne","Fornals","Traoré","Richarlison","Ings","Jesus",2153,99,TRUE
"Player432","Pope","Henderson","Jonny","Söyüncü","Walker","Chilwell","Baldock","Norwood","De Bruyne","Grealish","Ward-Prowse","Zaha","Richarlison","Rodriguez","Vardy",2153,99.5,TRUE
"Player777","Alisson","Henderson","Robertson","Bednarek","Basham","O'Connell","Alexander-Arnold","Douglas Luiz","Saint-Maximin","De Bruyne","Zaha","Neves","Abraham","Richarlison","Jiménez",2153,99,TRUE
"Player396","Pope","de Gea","van Dijk","Taylor","Doherty","Robertson","Saïss","Alli","Kouyaté","Dendoncker","Norwood","Salah","Ings","Vardy","McBurnie",2153,99.5,TRUE
"Player595","Dubravka","Guaita","Aurier","Baldock","Wan-Bissaka","Boly","Alexander-Arnold","Moutinho","Pérez","McArthur","De Bruyne","Dendoncker","Ings","Kane","Ayew",2153,98.5,TRUE
"Player643","Dubravka","Henderson","Alexander-Arnold","Mee","Egan","Söyüncü","Lindelöf","Fleck","Alli","Noble","Grealish","Mané","Vardy","Ayew","Calvert-Lewin",2153,99.5,TRUE
"Player151","Pickford","de Gea","Alexander-Arnold","Robertson","Tarkowski","Pieters","Saïss","Mooy","Maddison","Rashford","Henderson","Son","Richarlison","Jiménez","Abraham",2153,100,TRUE
"Player883","Ryan","Pope","Wan-Bissaka","Mee","van Dijk","Alexander-Arnold","Jonny","Barnes","McGinn","Jorginho","Son","Dendoncker","Jiménez","Lacazette","Vardy",2153,98.5,TRUE
"Player106","Henderson","Dubravka","Egan","Bednarek","Doherty","Evans","Lindelöf","Westwood","Alli","Jorginho","Sterling","Grealish","Martial","Vardy","Ayew",2153,98.5,TRUE
"Player82","Pope","Henderson","Stephens","Alexander-Arnold","Aurier","Egan","van Aanholt","Dendoncker","Jorginho","Son","De Bruyne","Henderson","Martial","Ayew","Haller",2153,97,TRUE
"Player798","Dubravka","Schmeichel","Aurier","Alexander-Arnold","Robertson","van Dijk","Basham","Sigurdsson","Snodgrass","Tielemans","Ritchie","James","Richarlison","Vardy","Jiménez",2152,99.5,TRUE
"Player409","Dubravka","Ryan","Alexander-Arnold","van Dijk","Saïss","Tarkowski","Stevens","Maddison","McGinn","Rashford","James","Rice","Lacazette","Jiménez","Martial",2152,99,TRUE
"Player423","Schmeichel","Dubravka","Saïss","Alexander-Arnold","Dunk","Baldock","Fredericks","Shelvey","El Ghazi","De Bruyne","Pérez","Saint-Maximin","Vardy","Lacazette","Ings",2152,100,TRUE
"Player846","Pope","Schmeichel","Söyüncü","Lindelöf","Mings","Aurier","Alexander-Arnold","De Bruyne","Sigurdsson","Rashford","Rice","Westwood","Abraham","Maupay","Wood",2152,98.5,TRUE
"Player808","Guaita","Pope","Mee","Gomez","Baldock","Wan-Bissaka","Robertson","Mané","Almirón","Lundstram","McGinn","Armstrong","Calvert-Lewin","Martial","Vardy",2152,99.5,TRUE
"Player294","Pope","Alisson","Doherty","Digne","van Dijk","Egan","Boly","El Ghazi","Lundstram","Shelvey","De Bruyne","Rice","Wood","Martial","Maupay",2152,96,TRUE
"Player173","Ederson","Henderson","O'Connell","Chilwell","Maguire","Robertson","Egan","Fleck","Dendoncker","Grealish","De Bruyne","Xhaka","Jiménez","Ings","Maupay",2152,98,TRUE
"Player200","Ryan","Henderson","Alderweireld","Stephens","Coady","Tarkowski","Stevens","Salah","Barnes","Kouyaté","Mount","Grealish","Maupay","Jiménez","Vardy",2152,99.5,TRUE
"Player141","Pope","Schmeichel","Alexander-Arnold","Mee","van Dijk","Walker","Basham","Neves","Fleck","Rashford","Moutinho","Rice","Ings","Rodriguez","Martial",2152,96,TRUE
"Player616","Guaita","Pope","David Luiz","Aurier","Alexander-Arnold","Jonny","Pereira","Rice","Armstrong","Noble","Redmond","Salah","Jiménez","Maupay","Ings",2152,98,TRUE
"Player906","Dubravka","McCarthy","Coady","Maguire","O'Connell","Dunk","Mee","El Ghazi","Mahrez","Jorginho","De Bruyne","Dendoncker","Vardy","Martial","Jiménez",2152,98.5,TRUE
"Player947","Patrício","Guaita","Doherty","Alexander-Arnold","Fernández","Lindelöf","Basham","Mahrez","Redmond","Bernardo Silva","Rashford","Lundstram","Kane","Wood","Maupay",2152,100,TRUE
"Player65","Pope","Patrício","Baldock","Egan","Keane","Doherty","Maguire","Shelvey","Barnes","Fernandes","Moutinho","De Bruyne","Wood","Richarlison","Abraham",2151,100,TRUE
"Player97","de Gea","Ryan","Tarkowski","Webster","Söyüncü","Alexander-Arnold","Stevens","Sterling","Norwood","Armstrong","Dendoncker","McNeil","Abraham","Martial","Jiménez",2151,96.5,TRUE
"Player46","Ryan","Henderson","Stevens","Evans","Aurier","Söyüncü","Saïss","Shelvey","Salah","Westwood","McNeil","Bernardo Silva","Vardy","Ings","Wood",2151,98.5,TRUE
"Player962","Schmeichel","Pope","Jonny","Alexander-Arnold","Alderweireld","Fernández","Coady","Son","Salah","Almirón","Trossard","Trézéguet","Wood","Jiménez","Ayew",2151,99,TRUE
"Player187","Guaita","Ryan","Bardsley","van Dijk","Robertson","Stevens","Mee","Mount","Mané","Rice","Rodrigo","Redmond","Abraham","Vardy","Richarlison",2151,99.5,TRUE
"Player169","Pickford","de Gea","Stevens","Basham","Egan","van Dijk","Webster","Trézéguet","De Bruyne","Bernardo Silva","Kouyaté","Grealish","Wood","Ings","Jiménez",2151,97,TRUE
"Player289","Leno","Henderson","Doherty","Dunk","Robertson","Basham","O'Connell","Westwood","Moutinho","McNeil","Sterling","Kouyaté","Agüero","Ings","Jiménez",2151,99.5,TRUE
"Player116","Dubravka","Ryan","Walker","Burn","Stevens","Evans","Aurier","Rice","Barnes","Sterling","Rashford","Henderson","Wood","Ings","Vardy",2151,100,TRUE
"Player697","Ryan","Ederson","Mings","Robertson","Stevens","Dunk","Aurier","De Bruyne","Pulisic","Harry Wilson","Armstrong","Ward-Prowse","Martial","Ings","Wood",2151,99.5,TRUE
"Player960","de Gea","Ryan","van Dijk","Robertson","Alderweireld","Basham","Wan-Bissaka","Westwood","Milivojevic","Pérez","Maddison","De Bruyne","Ayew","Maupay","Martial",2151,97.5,TRUE
"Player401","Schmeichel","McCarthy","Burn","Evans","Tarkowski","Alexander-Arnold","Digne","Fabinho","Salah","Norwood","De Bruyne","Kouyaté","Wood","Ings","Calvert-Lewin",2151,100,TRUE
"Player571","de Gea","Pickford","Otamendi","Tarkowski","Jonny","Alexander-Arnold","Alonso","Ward-Prowse","De Bruyne","Lucas Moura","Maddison","Henderson","Ayew","Jiménez","Ings",2151,100,TRUE
"Player37","Leno","Schmeichel","Pereira","Robertson","Basham","Alexander-Arnold","Mings","Mahrez","McNeil","Noble","Lucas Moura","De Bruyne","Ayew","Richarlison","Haller",2150,99.5,TRUE
"Player834","Henderson","Dubravka","Doherty","Evans","Dunk","van Dijk","Ward","Westwood","Sterling","Bernardo Silva","Rice","Trézéguet","Richarlison","Vardy","Abraham",2150,98.5,TRUE
"Player493","Dubravka","Ryan","Aurier","Digne","Alexander-Arnold","Boly","Pieters","De Bruyne","Westwood","Bernardo Silva","Ndidi","Mahrez","Ings","Richarlison","Wood",2150,99.5,TRUE
"Player353","Patrício","de Gea","van Dijk","Jonny","Otamendi","Doherty","Alexander-Arnold","Trossard","McTominay","Lundstram","Saint-Maximin","Aubameyang","Richarlison","Rodriguez","Vardy",2150,99.5,TRUE
"Player251","Leno","Pope","Lindelöf","Doherty","van Dijk","Mee","Baldock","Neves","Dendoncker","Salah","Aubameyang","Douglas Luiz","Ayew","Maupay","Richarlison",2150,98.5,TRUE
"Player898","Leno","Guaita","Fernández","Alexander-Arnold","Tarkowski","Robertson","Dunk","Son","Almirón","Rashford","Redmond","Henderson","Antonio","Vardy","Wood",2150,99.5,TRUE
"Player162","Schmeichel","de Gea","Coady","Pereira","O'Connell","Azpilicueta","Ogbonna","Grealish","Moutinho","Salah","Armstrong","Lundstram","Abraham","Ings","Martial",2150,98.5,TRUE
"Player25","Ederson","Pope","Alexander-Arnold","van Dijk","Aurier","Gomez","Dunk","McArthur","Snodgrass","Shelvey","Lundstram","Rashford","Martial","Ings","Antonio",2150,97.5,TRUE
"Player988","Alisson","Dubravka","Doherty","Dunk","Egan","Baldock","Stevens","Mané","Wijnaldum","Pérez","Almirón","Greenwood","Jiménez","Rodriguez","Vardy",2150,100,TRUE
"Player698","Schmeichel","Henderson","Stevens","Otamendi","Robertson","Doherty","Coady","Grealish","Traoré","Norwood","Hourihane","Zaha","Vardy","Firmino","Ings",2149,99,TRUE
"Player671","Ederson","Guaita","Alexander-Arnold","Tarkowski","Gomez","Egan","Ogbonna","Lucas Moura","Son","Lundstram","Traoré","Maddison","Martial","Abraham","Ings",2149,99.5,TRUE
"Player417","McCarthy","Pope","Saïss","Baldock","Tarkowski","Basham","Doherty","Jota","Lundstram","Mané","Jorginho","Grealish","Vardy","Ings","Joelinton",2149,97.5,TRUE
"Player205","Henderson","Pope","Doherty","Alexander-Arnold","Tarkowski","Lascelles","Baldock","Barnes","Shelvey","Traoré","Lucas Moura","Norwood","Abraham","Richarlison","Martial",2149,95.5,TRUE
"Player297","Dubravka","Ryan","Stevens","Evans","Wan-Bissaka","Tarkowski","Coady","Redmond","De Bruyne","Son","Saint-Maximin","Douglas Luiz","Jiménez","Rodriguez","Vardy",2149,98.5,TRUE
"Player562","Schmeichel","Pope","Tarkowski","Bednarek","Dunk","Lindelöf","Alexander-Arnold","Ward-Prowse","Dendoncker","Sterling","Lundstram","Fornals","Calvert-Lewin","Kane","Martial",2149,99.5,TRUE
"Player858","Patrício","de Gea","Dunk","Alexander-Arnold","Baldock","Jonny","Pieters","Fleck","De Bruyne","Grealish","Pérez","Lucas Moura","Maupay","Haller","Vardy",2149,100,TRUE
"Player84","Pope","Henderson","Webster","Boly","Söyüncü","Robertson","Wan-Bissaka","Harry Wilson","Shelvey","Sigurdsson","Lundstram","De Bruyne","Martial","Calvert-Lewin","Jiménez",2149,98.5,TRUE
"Player957","Dubravka","Henderson","Egan","Alexander-Arnold","Söyüncü","O'Connell","Robertson","Armstrong","Fornals","De Bruyne","Maddison","Fleck","Ayew","Calvert-Lewin","Richarlison",2149,98,TRUE
"Player999","Schmeichel","Patrício","Targett","Evans","Mendy","van Aanholt","van Dijk","Mané","De Bruyne","Wijnaldum","Ndidi","Lundstram","Maupay","Martial","Ayew",2149,100,TRUE
"Player651","Dubravka","Pope","van Dijk","Doherty","Mings","Stevens","Alonso","Neves","De Bruyne","Lucas Moura","Lundstram","James","Vardy","Calvert-Lewin","Wood",2149,99,TRUE
"Player305","Patrício","Ryan","Alexander-Arnold","Cresswell","Basham","Stevens","Robertson","Kouyaté","Son","Traoré","Moutinho","Ward-Prowse","Martial","Jesus","Richarlison",2148,98.5,TRUE
"Player934","Pope","Dubravka","Doherty","Mings","Dunk","Alexander-Arnold","Pieters","Bernardo Silva","El Ghazi","Barnes","De Bruyne","Maddison","Ings","Antonio","Wood",2148,99,TRUE
"Player207","Guaita","Schmeichel","Basham","Otamendi","Digne","Dunk","Alexander-Arnold","Noble","Trézéguet","Neves","Salah","Mahrez","Ings","Martial","McBurnie",2148,99,TRUE
"Player381","Patrício","Pope","O'Connell","Boly","Alexander-Arnold","Wan-Bissaka","Mee","Traoré","Rashford","Hayden","Hourihane","De Bruyne","Ayew","Calvert-Lewin","Ings",2148,99.5,TRUE
"Player42","Ryan","Pope","Doherty","Alonso","van Dijk","Söyüncü","Alexander-Arnold","Redmond","Norwood","Sigurdsson","Ritchie","Saint-Maximin","Vardy","Ings","Jiménez",2148,97.5,TRUE
"Player365","Dubravka","Patrício","Baldock","Alexander-Arnold","Doherty","Chilwell","Lascelles","Armstrong","Moutinho","Højbjerg","McTominay","Salah","Firmino","Ings","Martial",2148,99.5,TRUE
"Player609","de Gea","Pope","Tarkowski","Saïss","van Dijk","Egan","Alexander-Arnold","Moutinho","McArthur","El Ghazi","Henderson","De Bruyne","Wood","Richarlison","Haller",2148,95.5,TRUE
"Player40","de Gea","Schmeichel","Coady","Walker","Doherty","Robertson","Basham","Greenwood","De Bruyne","Traoré","Armstrong","Grealish","Abraham","Calvert-Lewin","Wood",2148,99,TRUE
"Player559","Pope","Ryan","Alexander-Arnold","Doherty","van Dijk","Gomez","Tarkowski","Aubameyang","Jorginho","Ndidi","Rashford","McGinn","Jesus","Maupay","Ayew",2148,100,TRUE
"Player334","Schmeichel","Pope","Dunk","Alexander-Arnold","Aurier","Tarkowski","Diop","Lucas Moura","Grealish","Neves","Noble","Barnes","Abraham","Jiménez","Vardy",2148,96.5,TRUE
"Player53","Henderson","Schmeichel","Mendy","Alexander-Arnold","Basham","Baldock","Dunk","McArthur","Harry Wilson","Fleck","Barnes","Salah","Jiménez","Martial","Antonio",2148,100,TRUE
"Player857","Henderson","Pope","Robertson","van Dijk","Diop","Azpilicueta","Evans","Redmond","Westwood","Henderson","De Bruyne","Tielemans","Calvert-Lewin","Ayew","Kane",2148,99.5,TRUE
"Player242","Dubravka","Pope","Saïss","Baldock","Aurier","Alexander-Arnold","Robertson","Ward-Prowse","Pulisic","Pérez","Harry Wilson","Ndidi","Ayew","Jiménez","Martial",2148,96,TRUE
"Player108","Fabianski","Schmeichel","Maguire","Tarkowski","Mee","Wan-Bissaka","Alexander-Arnold","McGinn","Mané","Ward-Prowse","Mount","Redmond","Ings","Martial","Ayew",2148,100,TRUE
"Player783","de Gea","Leno","Doherty","Ogbonna","Lascelles","Jonny","Azpilicueta","Lundstram","Mahrez","Traoré","Wijnaldum","De Bruyne","Vardy","Rodriguez","Martial",2148,100,TRUE
"Player972","Pope","Guaita","van Dijk","Stevens","Digne","Robertson","Dunk","Rashford","El Ghazi","Pépé","Trézéguet","Ward-Prowse","Richarlison","Martial","Wood",2148,99,TRUE
"Player296","Ryan","Schmeichel","Alexander-Arnold","van Dijk","Diop","Bertrand","Robertson","Grealish","De Bruyne","Noble","James","McGinn","Antonio","Ayew","Vardy",2148,98.5,TRUE
"Player225","McCarthy","Pope","Baldock","Maguire","O'Connell","Dunk","Azpilicueta","Mahrez","Rashford","Henderson","Mount","Douglas Luiz","Jiménez","Abraham","Ings",2148,97,TRUE
"Player688","Henderson","Patrício","Stephens","Baldock","Lindelöf","van Dijk","Robertson","Jota","Saint-Maximin","Lundstram","Almirón","Aubameyang","Martial","Ayew","Jesus",2148,100,TRUE
"Player654","Pope","Leno","Robertson","Maguire","van Dijk","Pereira","Baldock","Son","Noble","De Bruyne","Jota","Xhaka","Martial","Wood","Joelinton",2148,100,TRUE
"Player788","de Gea","Pickford","Mee","Robertson","Digne","Tarkowski","Egan","McArthur","Salah","Pérez","Douglas Luiz","McNeil","Vardy","Calvert-Lewin","Ings",2148,99.5,TRUE
"Player359","Henderson","Ryan","Chilwell","van Dijk","Lindelöf","Baldock","Tarkowski","Sterling","Maddison","Barnes","Fornals","Noble","Haller","Martial","Ings",2148,99,TRUE
"Player959","Arrizabalaga","McCarthy","van Dijk","Alexander-Arnold","Ogbonna","Evans","Tarkowski","Ndidi","Wijnaldum","Højbjerg","Fornals","De Bruyne","Ings","Vardy","Jiménez",2147,100,TRUE
"Player196","Pope","Henderson","Baldock","Walker","Stevens","Diop","Stephens","Maddison","Traoré","De Bruyne","Wijnaldum","Dendoncker","Jiménez","Ings","Abraham",2147,97.5,TRUE
"Player644","Pope","Dubravka","Evans","Stevens","Alonso","Robertson","Tarkowski","Pépé","Lundstram","Armstrong","Maddison","Mount","Jiménez","Calvert-Lewin","Vardy",2147,98.5,TRUE
"Player828","Ryan","Ederson","Stevens","Gomez","Basham","van Dijk","Evans","McArthur","Noble","Traoré","Grealish","De Bruyne","Adams","Martial","Vardy",2147,99,TRUE
"Player111","Lloris","Henderson","Egan","Pereira","Tarkowski","Alexander-Arnold","Wan-Bissaka","Fabinho","Ndidi","Barnes","Sterling","Wijnaldum","Abraham","Martial","Jiménez",2147,100,TRUE
"Player270","Leno","Henderson","Tarkowski","Doherty","Fredericks","Stevens","Walker","Traoré","Salah","Saint-Maximin","Wijnaldum","Norwood","Richarlison","Ings","Vardy",2147,99,TRUE
"Player800","Patrício","Dubravka","van Dijk","Chilwell","Maguire","Coady","Alexander-Arnold","Traoré","Son","Henderson","Pérez","Kouyaté","Antonio","Kane","Vardy",2147,100,TRUE
"Player589","Pope","Henderson","Mee","O'Connell","van Aanholt","Saïss","Stephens","Son","Xhaka","Noble","Almirón","De Bruyne","Martial","Ings","Jiménez",2147,99.5,TRUE
"Player515","Dubravka","de Gea","Chilwell","Doherty","Baldock","Gomez","Alexander-Arnold","Saint-Maximin","Xhaka","Zaha","Barnes","Rashford","Wood","Vardy","Jiménez",2147,100,TRUE
"Player60","Guaita","Patrício","Alexander-Arnold","Evans","Fernández","Cresswell","Robertson","Redmond","McNeil","Maddison","Rashford","Son","Ings","Ayew","Calvert-Lewin",2147,100,TRUE
"Player202","Pope","Schmeichel","Doherty","Dunk","van Dijk","Alexander-Arnold","Robertson","Son","Milivojevic","Rodrigo","Rashford","Rice","McBurnie","Antonio","Wood",2147,97,TRUE
"Player286","Schmeichel","Pope","Alexander-Arnold","Wan-Bissaka","Chilwell","Diop","Baldock","Zaha","McNeil","Grealish","Son","Xhaka","Firmino","Richarlison","Ings",2147,100,TRUE
"Player378","Lloris","Guaita","David Luiz","Basham","Maguire","Alexander-Arnold","Tarkowski","Noble","Rice","McGinn","Salah","Son","Maupay","Jiménez","Ings",2147,99.5,TRUE
"Player3","Pickford","Ryan","Alexander-Arnold","Doherty","Robertson","Pereira","Maguire","El Ghazi","Rice","Ndidi","Mané","Lundstram","Ayew","Kane","Abraham",2147,99,TRUE
"Player224","Leno","Henderson","Mendy","Alexander-Arnold","Doherty","Egan","Webster","Salah","Almirón","Traoré","Mooy","Rodrigo","Richarlison","Ings","Jiménez",2147,99.5,TRUE
"Player685","Patrício","de Gea","Azpilicueta","Alexander-Arnold","Aurier","Boly","Wan-Bissaka","Ward-Prowse","Pérez","Rice","McNeil","Aubameyang","McBurnie","Ings","Martial",2147,100,TRUE
"Player90","Dubravka","Pickford","Doherty","Saïss","Alexander-Arnold","Wan-Bissaka","Mee","McTominay","Rashford","Mount","Alli","Jorginho","Vardy","Ings","Richarlison",2147,100,TRUE
"Player131","Guaita","Ryan","Stevens","Doherty","Alonso","Alexander-Arnold","Evans","Sterling","Pérez","Traoré","Lundstram","Rodrigo","Lacazette","Antonio","Martial",2147,99.5,TRUE
"Player166","Ryan","de Gea","Robertson","Walker","Aurier","Doherty","Ward","Douglas Luiz","Kouyaté","Westwood","Aubameyang","Lundstram","Vardy","Martial","Abraham",2146,98.5,TRUE
"Player735","Guaita","Schmeichel","Chilwell","Tarkowski","Dunk","Jonny","Wan-Bissaka","Mané","Ward-Prowse","Grealish","Pérez","McNeil","Calvert-Lewin","Abraham","Martial",2146,98.5,TRUE
"Player300","Patrício","Henderson","Jonny","Evans","Azpilicueta","Bednarek","Doherty","Mahrez","Noble","De Bruyne","Barnes","Almirón","Haller","Martial","Calvert-Lewin",2146,99,TRUE
"Player51","Dubravka","Guaita","O'Connell","Basham","van Dijk","Bardsley","Wan-Bissaka","Traoré","De Bruyne","Pérez","McGinn","Mooy","Richarlison","Vardy","Martial",2146,98.5,TRUE
"Player790","Schmeichel","Patrício","Doherty","Mee","Aurier","Stevens","Alonso","Rashford","Moutinho","Lundstram","Rice","De Bruyne","Firmino","Mousset","Richarlison",2146,99.5,TRUE
"Player215","Ryan","Pope","Lindelöf","van Dijk","Robertson","Egan","Bednarek","Almirón","Salah","Norwood","Mahrez","Jota","Adams","Abraham","Ings",2146,98,TRUE
"Player890","Schmeichel","Pope","Stevens","Dunk","Azpilicueta","Doherty","Wan-Bissaka","Almirón","Armstrong","De Bruyne","Mané","Harry Wilson","Jiménez","Adams","Mousset",2146,100,TRUE
"Player657","Ryan","Dubravka","van Aanholt","O'Connell","Saïss","van Dijk","Dunk","Grealish","Son","Almirón","Salah","Fleck","Maupay","Abraham","Jiménez",2146,99,TRUE
"Player792","Guaita","Dubravka","Mee","Digne","Tarkowski","Azpilicueta","Alexander-Arnold","Maddison","Henderson","De Bruyne","Kouyaté","Barnes","Jiménez","Mousset","Richarlison",2146,98.5,TRUE
"Player665","Henderson","Arrizabalaga","van Dijk","Aurier","Söyüncü","Digne","Egan","Lundstram","McArthur","Grealish","Mahrez","Wijnaldum","Jesus","Ings","Vardy",2146,99,TRUE
