"","GK1","GK2","DEF1","DEF2","DEF3","DEF4","DEF5","MID1","MID2","MID3","MID4","MID5","FWD1","FWD2","FWD3","Points","Cost","OK"
"Player969","Schmeichel","Patrício","Coady","Targett","Robertson","Stevens","Egan","Lundstram","Rodrigo","Mahrez","Pérez","Traoré","Maupay","Ings","Vardy",2172,95.5,TRUE
"Player787","Patrício","Leno","Dunk","Baldock","Gomez","Basham","Tarkowski","Rashford","Traoré","Henderson","Moutinho","Salah","Vardy","Ayew","Richarlison",2172,100,TRUE
"Player276","Pope","de Gea","Aurier","Ogbonna","Chilwell","Alexander-Arnold","Mee","Almirón","Salah","Ritchie","Maddison","Lundstram","Maupay","Vardy","Jiménez",2172,100,TRUE
"Player635","Alisson","Henderson","Stevens","Alexander-Arnold","Fredericks","Tarkowski","Bednarek","De Bruyne","Tielemans","Pröpper","Lundstram","McTominay","Ings","Richarlison","Vardy",2172,99,TRUE
"Player499","Henderson","Pope","Alexander-Arnold","Tarkowski","Lindelöf","Evans","Stevens","Sigurdsson","McNeil","Rodrigo","Mahrez","Mount","Maupay","Jiménez","Firmino",2171,98.5,TRUE
"Player942","Dubravka","Schmeichel","Egan","Fernández","Tarkowski","Coady","Doherty","Wijnaldum","Pépé","Almirón","Salah","Ndidi","Vardy","Jiménez","Richarlison",2171,100,TRUE
"Player683","Pope","Henderson","Alexander-Arnold","Egan","Doherty","Maguire","Walker","Sterling","Pérez","Henderson","Alli","Neves","Mousset","Jiménez","Abraham",2171,100,TRUE
"Player232","Dubravka","Patrício","Dunk","Wan-Bissaka","Baldock","Tarkowski","Ogbonna","Mahrez","Pérez","De Bruyne","Trossard","Rice","McBurnie","Vardy","Jiménez",2171,99,TRUE
"Player212","Pope","Dubravka","van Dijk","Egan","Stevens","Coady","Tarkowski","Lundstram","Fabinho","Shelvey","Son","Moutinho","Vardy","Martial","Calvert-Lewin",2171,95,TRUE
"Player804","Patrício","Pope","Doherty","Pieters","Walker","Mee","Alexander-Arnold","Højbjerg","Mount","Trézéguet","Rice","Mané","Ings","Calvert-Lewin","Vardy",2171,100,TRUE
"Player426","Patrício","Guaita","Stevens","Alexander-Arnold","Targett","Baldock","Söyüncü","Mooy","Traoré","Lundstram","Fornals","De Bruyne","Martial","Vardy","Joelinton",2170,99,TRUE
"Player990","Patrício","Pickford","Egan","Tarkowski","O'Connell","Stevens","van Aanholt","Ward-Prowse","De Bruyne","Mané","Trézéguet","Douglas Luiz","Abraham","Ayew","Martial",2170,99.5,TRUE
"Player73","de Gea","Pope","Bednarek","Robertson","Stephens","van Dijk","Digne","Pérez","Tielemans","Douglas Luiz","De Bruyne","Trézéguet","Calvert-Lewin","Martial","Ings",2170,99.5,TRUE
"Player920","Henderson","Pickford","van Dijk","Baldock","Maguire","Boly","Stevens","Bernardo Silva","Mahrez","Douglas Luiz","Noble","Ward-Prowse","Martial","Vardy","Ings",2170,98.5,TRUE
"Player566","Ryan","Pickford","Jonny","Mings","van Dijk","Maguire","Lindelöf","Lundstram","De Bruyne","Norwood","Snodgrass","Dendoncker","Ings","Martial","Vardy",2170,97.5,TRUE
"Player290","Ryan","Leno","Dunk","Robertson","Cresswell","Alexander-Arnold","Aurier","Shelvey","Grealish","Rice","Rodrigo","Mahrez","Richarlison","Vardy","Ings",2170,97.5,TRUE
"Player249","Patrício","Guaita","Egan","Tarkowski","Ogbonna","Mings","Fernández","Kouyaté","Trossard","Lundstram","Mané","De Bruyne","Jiménez","Ayew","Martial",2170,99.5,TRUE
"Player548","Dubravka","Leno","Mee","Maguire","Egan","Doherty","Dunk","Westwood","Salah","Hayden","Mané","Henderson","Jiménez","Ayew","Richarlison",2170,99,TRUE
"Player193","Pickford","Schmeichel","Baldock","Alexander-Arnold","Pereira","Doherty","Burn","Son","Noble","Rashford","Neves","Lundstram","Lacazette","Richarlison","Jiménez",2170,99.5,TRUE
"Player154","Leno","Ryan","Burn","Aurier","Coady","Alexander-Arnold","Evans","Fleck","De Bruyne","Westwood","Ward-Prowse","Mount","Martial","Ayew","Ings",2169,97,TRUE
"Player443","Guaita","Schmeichel","Wan-Bissaka","Jonny","Coady","Maguire","Alexander-Arnold","Hourihane","Rice","Mount","Grealish","El Ghazi","Martial","Ings","Vardy",2169,98,TRUE
"Player576","Pickford","Ryan","Alexander-Arnold","Taylor","Egan","Aurier","Doherty","Neves","Mahrez","Rice","El Ghazi","Salah","Haller","Martial","Jiménez",2169,99,TRUE
"Player34","de Gea","Schmeichel","Doherty","Fernández","Basham","Evans","Aurier","Mount","Ndidi","Grealish","Salah","Trossard","Richarlison","Martial","Abraham",2169,99.5,TRUE
"Player374","Schmeichel","Henderson","Dunk","Robertson","Coady","Doherty","Egan","Rashford","Sterling","Noble","McArthur","El Ghazi","Abraham","Martial","Haller",2169,99.5,TRUE
"Player862","McCarthy","Henderson","Robertson","Mina","Söyüncü","Baldock","Evans","McNeil","Rashford","Lundstram","Rodrigo","Salah","Ings","Abraham","Wood",2169,100,TRUE
"Player123","Pope","Henderson","Mings","Dunk","Mendy","van Dijk","Aurier","Lundstram","Salah","De Bruyne","Moutinho","Westwood","McBurnie","Ings","Haller",2169,100,TRUE
"Player903","Schmeichel","Ryan","Alexander-Arnold","Fernández","Boly","Dunk","Coady","Son","Mount","De Bruyne","Jorginho","Trossard","Adams","Ings","Jiménez",2169,99.5,TRUE
"Player209","Ryan","Pope","Tarkowski","Egan","Söyüncü","Evans","Baldock","Dendoncker","Mané","Ritchie","Rashford","Lundstram","Jiménez","Joelinton","Vardy",2169,98.5,TRUE
